Time (s),Airspeed (KCAS),Altitude (ft),Temperature (C),Fuel (thousand lbs)
12:00:00 AM,190,950,-3,3
12:12:00 AM,200,950,-3,3
12:25:00 AM,210,960,-3,3
12:39:00 AM,220,960,-3,3
12:46:00 AM,230,940,-3,3
12:55:00 AM,240,940,-3,3
12:01:13 AM,250,940,-3,3
12:01:32 AM,260,960,-3,3
12:01:57 AM,270,970,-3,3
12:02:25 AM,280,960,-3,3
12:03:06 AM,290,990,-3,3
12:03:30 AM,295,940,-3,3
