Time (s),Airspeed (KCAS),Altitude (ft),Temperature (C),Fuel (thousand lbs)
0:44:42,190,20020,3,4
,200,20020,3,4
,210,20020,3,4
,220,20020,3,4
,230,20040,3,4
,240,20040,3,4
0:45:17,250,20040,3,4
0:45:24,260,20040,3,4
0:45:31,270,20040,3,4
0:45:39,280,20040,3,4
0:45:47,290,20040,3,4
0:45:53,295,20040,3,3.9
