Time (s),Airspeed (KCAS),Altitude (ft),Temperature (C),Fuel (thousand lbs)
0:58:07,190,19930,3,3.5
0:58:19,200,19940,3,3.5
0:58:30,210,19940,3,3.5
0:58:42,220,19940,3,3.5
0:58:56,230,19940,3,3.5
0:59:10,240,19940,3,3.5
0:59:26,250,19950,3,3.5
0:59:39,260,19950,3,3.5
0:59:58,270,19940,-2,3.5
1:00:20,280,19950,-2,3.5
1:00:48,290,19940,0,3.4
1:01:09,295,19930,0,3.4
