Time (s),Altitude (ft),Airspeed (KCAS),Temperature (C),Fuel (thousand lbs)
8:32:46,10000,292,20,4.6
8:33:07,11000,292,18,4.5
8:33:29,12000,292,16,4.5
8:33:52,13000,292,14,4.5
8:34:13,14000,292,12,4.5
8:34:35,15000,292,10,4.5
8:35:02,16000,294,10,4.4
8:35:23,17000,291,8,4.4
8:35:51,18000,290,6,4.4
8:36:21,19000,290,5,4.4
8:36:52,20000,293,4,4.3
