Time (s),Airspeed (KCAS),Altitude (ft),Temperature (C),Fuel (thousand lbs)
0:54:17,190,19960,12,2.1
0:54:20,200,20020,12,2.1
0:54:23,210,20030,12,2.1
0:54:27,220,20030,12,2.1
0:54:30,230,20030,12,2.1
0:54:33,240,20040,12,2
0:54:37,250,20040,12,2
0:54:40,260,20040,12,2
0:54:44,270,20040,12,1.9
0:54:48,280,20040,12,1.9
0:54:52,290,20040,12,1.9
0:54:55,295,20040,12,1.8
