Time (s),Airspeed (KCAS),Altitude (ft),Temperature (C),Fuel (thousand lbs)
0:37:35,190,19940,2,2.3
0:37:37,200,20010,2,2.3
0:37:41,210,20010,2,2.3
0:37:45,220,20000,2,2.3
0:37:49,230,20000,2,2.3
0:37:53,240,20000,2,2.3
0:37:58,250,20010,6,2.3
0:38:03,260,20010,6,2.3
0:38:07,270,20010,6,2.3
0:38:13,280,20020,6,2.3
0:38:18,290,20020,6,2.3
