Time (s),Airspeed (KCAS),Altitude (ft),Temperature (C),Fuel (thousand lbs)
9:39:29,190,14921.98145,2,2.3
9:39:34,200,15013.54199,2,2.3
9:39:38,210,15009.65234,2,2.3
9:39:42,220,15001.7002,2,2.3
9:39:47,230,15004.91406,2,2.3
9:39:51,240,15007.03418,2,2.3
9:39:55,250,15010.62695,6,2.3
9:40:00,260,15016.75488,6,2.3
9:40:05,270,15019.86133,6,2.3
9:40:10,280,15023.25195,6,2.3
9:40:15,290,15024.88574,6,2.3
9:40:18,295,15022.25781,6,2.3
