Time (s),Airspeed (KCAS),Altitude (ft),Temperature (C),Fuel (thousand lbs)
09:54:12.980,190,9953.454102,12,
09:54:16.860,200,10021.97266,12,
09:54:20.500,210,10031.49316,12,
09:54:23.840,220,10033.96875,12,
09:54:27.260,230,10037.52148,12,
09:54:30.780,240,10042.91309,12,
09:54:34.320,250,10042.91895,12,
09:54:37.900,260,10042.62109,12,
09:54:41.700,270,10043.86621,12,
09:54:45.740,280,10044.6748,12,
09:54:49.920,290,10042.60449,12,
09:54:52.080,295,10044.27734,12,
