Time (s),Airspeed (KCAS),Altitude (ft),Temperature (C),Fuel (thousand lbs)
9:44:15,190,14972.19629,2,2.3
9:44:23,200,14984.41406,2,2.3
9:44:31,210,14981.40723,2,2.3
9:44:39,220,14981.08691,2,2.3
9:44:48,230,14985.72754,2,2.3
9:44:57,240,14995.80078,2,2.3
9:45:06,250,14997.64648,7,2.3
9:45:17,260,14984.14453,7,2.3
9:45:30,270,14974.49414,7,2.3
9:45:44,280,14987.74609,7,2.3
9:45:59,290,14992.0127,7,2.3
9:46:09,295,14994.88672,7,2.3
